Year,Country,State,Type,Commodity,Value ($m)
2010,Australia,New South Wales,Crops,Barley,230
2010,Australia,New South Wales,Crops,Maize,0
2010,Australia,New South Wales,Crops,Oats,40.8
2010,Australia,New South Wales,Crops,Rice,88.9
2010,Australia,New South Wales,Crops,Sorghum,123.7
2010,Australia,New South Wales,Crops,Wheat,1154.7
2010,Australia,New South Wales,Livestock,Eggs,145.3
2010,Australia,New South Wales,Livestock,Milk,522.4
2010,Australia,New South Wales,Livestock,Wool,641.1
2010,Australia,New South Wales,Livestock,Cattle and Calves,1487.6
2010,Australia,New South Wales,Livestock,Pigs,214.8
2010,Australia,New South Wales,Livestock,Poultry,572.6
2010,Australia,New South Wales,Livestock,Sheep and Lambs,584.3
2010,Australia,Victoria,Crops,Barley,332.5
2010,Australia,Victoria,Crops,Maize,0
2010,Australia,Victoria,Crops,Oats,57.2
2010,Australia,Victoria,Crops,Rice,0.1
2010,Australia,Victoria,Crops,Sorghum,0
2010,Australia,Victoria,Crops,Wheat,648.2
2010,Australia,Victoria,Livestock,Eggs,108.7
2010,Australia,Victoria,Livestock,Milk,1961.9
2010,Australia,Victoria,Livestock,Wool,435.1
2010,Australia,Victoria,Livestock,Cattle and Calves,1119.2
2010,Australia,Victoria,Livestock,Pigs,166.7
2010,Australia,Victoria,Livestock,Poultry,483.4
2010,Australia,Victoria,Livestock,Sheep and Lambs,986.6
2010,Australia,Queensland,Crops,Barley,24.1
2010,Australia,Queensland,Crops,Maize,0
2010,Australia,Queensland,Crops,Oats,1.3
2010,Australia,Queensland,Crops,Rice,0.9
2010,Australia,Queensland,Crops,Sorghum,171.9
2010,Australia,Queensland,Crops,Wheat,301.1
2010,Australia,Queensland,Livestock,Eggs,110.3
2010,Australia,Queensland,Livestock,Milk,296.2
2010,Australia,Queensland,Livestock,Wool,87.2
2010,Australia,Queensland,Livestock,Cattle and Calves,3174.3
2010,Australia,Queensland,Livestock,Pigs,230.8
2010,Australia,Queensland,Livestock,Poultry,358.5
2010,Australia,Queensland,Livestock,Sheep and Lambs,45.1
2010,Australia,South Australia,Crops,Barley,313.7
2010,Australia,South Australia,Crops,Maize,0
2010,Australia,South Australia,Crops,Oats,15.7
2010,Australia,South Australia,Crops,Rice,0
2010,Australia,South Australia,Crops,Sorghum,0
2010,Australia,South Australia,Crops,Wheat,839.3
2010,Australia,South Australia,Livestock,Eggs,12.3
2010,Australia,South Australia,Livestock,Milk,209.6
2010,Australia,South Australia,Livestock,Wool,284
2010,Australia,South Australia,Livestock,Cattle and Calves,308.2
2010,Australia,South Australia,Livestock,Pigs,0
2010,Australia,South Australia,Livestock,Poultry,0
2010,Australia,South Australia,Livestock,Sheep and Lambs,430.8
2010,Australia,Western Australia,Crops,Barley,447.9
2010,Australia,Western Australia,Crops,Maize,0
2010,Australia,Western Australia,Crops,Oats,69.5
2010,Australia,Western Australia,Crops,Rice,0
2010,Australia,Western Australia,Crops,Sorghum,0
2010,Australia,Western Australia,Crops,Wheat,1815.3
2010,Australia,Western Australia,Livestock,Eggs,38.8
2010,Australia,Western Australia,Livestock,Milk,148.6
2010,Australia,Western Australia,Livestock,Wool,415.4
2010,Australia,Western Australia,Livestock,Cattle and Calves,318.8
2010,Australia,Western Australia,Livestock,Pigs,0
2010,Australia,Western Australia,Livestock,Poultry,0
2010,Australia,Western Australia,Livestock,Sheep and Lambs,240.9
2010,Australia,Tasmania,Crops,Barley,8
2010,Australia,Tasmania,Crops,Maize,0
2010,Australia,Tasmania,Crops,Oats,1.2
2010,Australia,Tasmania,Crops,Rice,0
2010,Australia,Tasmania,Crops,Sorghum,0
2010,Australia,Tasmania,Crops,Wheat,6.8
2010,Australia,Tasmania,Livestock,Eggs,8.7
2010,Australia,Tasmania,Livestock,Milk,232.6
2010,Australia,Tasmania,Livestock,Wool,64.6
2010,Australia,Tasmania,Livestock,Cattle and Calves,142.5
