State,Type,Value
2010,Crop,6692.9
2010,Livestock,16632.5
2010,Total,23325.4
2011,Crop,9679.2
2011,Livestock,20033.8
2011,Total,29713
2012,Crop,9536.97
2012,Livestock,20720.91
2012,Total,30257.88
2013,Crop,10465.59
2013,Livestock,19605.45
2013,Total,30071.04
2014,Crop,11497.06
2014,Livestock,22176.42
2014,Total,33673.48
2015,Crop,10942.36
2015,Livestock,26361.72
2015,Total,37304.08
2016,Crop,9581.23
2016,Livestock,28064.09
2016,Total,37645.32
2017,Crop,11199.92
2017,Livestock,27057.85
2017,Total,38257.77
2018,Crop,9004.13
2018,Livestock,28623.62
2018,Total,37627.75
2019,Crop,10180.61
2019,Livestock,29780.43
2019,Total,39961.04
2020,Crop,8695.56
2020,Livestock,31375.04
2020,Total,40070.6
2021,Crop,14948.54
2021,Livestock,29903.92
2021,Total,44852.46
2022,Crop,19310.8
2022,Livestock,32895.74
2022,Total,52206.54
