State,Type,Value
Australian Capital Territory,Crop,0.66
Australian Capital Territory,Livestock,81.66
New South Wales,Crop,38561.25
New South Wales,Livestock,75716.22
Northern Territory,Crop,6.12
Northern Territory,Livestock,6092.61
Queensland,Crop,10410.88
Queensland,Livestock,82753.42
South Australia,Crop,21935.47
South Australia,Livestock,25943.99
Tasmania,Crop,253.9
Tasmania,Livestock,10970.52
Victoria,Crop,20854.55
Victoria,Livestock,103019.09
Western Australia,Crop,49712.04
Western Australia,Livestock,28653.98
